2019 rank,City,State,2019 estimate,2010 Census,Change,2016 land area mi2,2016 land area km2,2016 population density mi2,2016 population density km2,Location
254,Temecula,California,114761,100097,+14.65%,37.3 mi2,96.6 km2,3031/mi2,1170/km2,33.4931°N 117.1317°W
255,Clovis,California,114584,95631,+19.82%,24.2 mi2,62.7 km2,4404/mi2,1700/km2,36.8282°N 119.6849°W
256,Springfield,Illinois,114230,116250,-1.74%,60.1 mi2,155.7 km2,1925/mi2,743/km2,39.7911°N 89.6446°W
257,Meridian,Idaho,114161,75092,+52.03%,29.8 mi2,77.2 km2,3584/mi2,1384/km2,43.6142°N 116.3989°W
258,Westminster,Colorado,113166,106114,+6.65%,31.7 mi2,82.1 km2,3592/mi2,1387/km2,39.8822°N 105.0644°W
259,Costa Mesa,California,113003,109960,+2.77%,15.7 mi2,40.7 km2,7186/mi2,2775/km2,33.6659°N 117.9123°W
260,High Point,North Carolina,112791,104371,+8.07%,55.2 mi2,143.0 km2,2015/mi2,778/km2,35.9900°N 79.9905°W
261,Manchester,New Hampshire,112673,109565,+2.84%,33.1 mi2,85.7 km2,3339/mi2,1289/km2,42.9849°N 71.4441°W
262,Pueblo,Colorado,112361,106595,+5.41%,53.6 mi2,138.8 km2,2058/mi2,795/km2,38.2699°N 104.6123°W
263,Lakeland,Florida,112136,97422,+15.10%,65.9 mi2,170.7 km2,1615/mi2,624/km2,28.0555°N 81.9549°W
264,Pompano Beach,Florida,112118,99845,+12.29%,24.0 mi2,62.2 km2,4558/mi2,1760/km2,26.2416°N 80.1339°W
265,West Palm Beach,Florida,111955,99919,+12.05%,55.1 mi2,142.7 km2,1963/mi2,758/km2,26.7464°N 80.1251°W
266,Antioch,California,111502,102372,+8.92%,29.4 mi2,76.1 km2,3772/mi2,1456/km2,37.9791°N 121.7962°W
267,Everett,Washington,111475,103019,+8.21%,33.3 mi2,86.2 km2,3275/mi2,1264/km2,47.9566°N 122.1914°W
268,Downey,California,111126,111772,-0.58%,12.4 mi2,32.1 km2,9134/mi2,3527/km2,33.9382°N 118.1309°W
269,Lowell,Massachusetts,110997,106519,+4.20%,13.6 mi2,35.2 km2,8129/mi2,3139/km2,42.6390°N 71.3211°W
270,Centennial,Colorado,110937,100377,+10.52%,29.5 mi2,76.4 km2,3727/mi2,1439/km2,39.5906°N 104.8691°W
271,Elgin,Illinois,110849,108188,+2.46%,37.4 mi2,96.9 km2,2998/mi2,1158/km2,42.0396°N 88.3217°W
272,Richmond,California,110567,103701,+6.62%,30.1 mi2,78.0 km2,3648/mi2,1409/km2,37.9523°N 122.3606°W
273,Peoria,Illinois,110417,115007,-3.99%,48.2 mi2,124.8 km2,2371/mi2,915/km2,40.7515°N 89.6174°W
274,Broken Arrow,Oklahoma,110198,98850,+11.48%,61.7 mi2,159.8 km2,1741/mi2,672/km2,36.0365°N 95.7810°W
275,Miami Gardens,Florida,110001,107167,+2.64%,18.2 mi2,47.1 km2,6212/mi2,2398/km2,25.9489°N 80.2436°W
276,Billings,Montana,109577,104170,+5.19%,43.7 mi2,113.2 km2,2525/mi2,975/km2,45.7885°N 108.5499°W
277,Jurupa Valley,California,109527,0,NA,42.9 mi2,111.1 km2,2414/mi2,932/km2,34.0026°N 117.4676°W
278,Sandy Springs,Georgia,109452,93853,+16.62%,37.7 mi2,97.6 km2,2804/mi2,1083/km2,33.9315°N 84.3687°W
279,Gresham,Oregon,109381,105594,+3.59%,23.3 mi2,60.3 km2,4786/mi2,1848/km2,45.5023°N 122.4416°W
280,Lewisville,Texas,109212,95290,+14.61%,36.7 mi2,95.1 km2,2852/mi2,1101/km2,33.0466°N 96.9818°W
281,Hillsboro,Oregon,109128,91611,+19.12%,25.0 mi2,64.7 km2,4207/mi2,1624/km2,45.5280°N 122.9357°W
282,Ventura,California,109106,106433,+2.51%,21.8 mi2,56.5 km2,5027/mi2,1941/km2,34.2678°N 119.2542°W
283,Greeley,Colorado,108649,92889,+16.97%,47.8 mi2,123.8 km2,2176/mi2,840/km2,40.4153°N 104.7697°W
284,Inglewood,California,108151,109673,-1.39%,9.1 mi2,23.6 km2,12160/mi2,4700/km2,33.9561°N 118.3443°W
285,Waterbury,Connecticut,107568,110366,-2.54%,28.5 mi2,73.8 km2,3799/mi2,1467/km2,41.5585°N 73.0367°W
286,League City,Texas,107536,83560,+28.69%,51.2 mi2,132.6 km2,1992/mi2,769/km2,29.4901°N 95.1091°W
287,Santa Maria,California,107263,99553,+7.74%,22.8 mi2,59.1 km2,4662/mi2,1800/km2,34.9332°N 120.4438°W
288,Tyler,Texas,106985,96900,+10.41%,56.6 mi2,146.6 km2,1852/mi2,715/km2,32.3173°N 95.3059°W
289,Davie,Florida,106306,91992,+15.56%,34.9 mi2,90.4 km2,2919/mi2,1127/km2,26.0791°N 80.2850°W
290,Daly City,California,106280,101123,+5.10%,7.6 mi2,19.7 km2,14009/mi2,5409/km2,37.7009°N 122.4650°W
291,Boulder,Colorado,105673,97385,+8.51%,24.8 mi2,64.2 km2,4358/mi2,1683/km2,40.0270°N 105.2519°W
