2019 rank,City,State,2019 estimate,2010 Census,Change,2016 land area mi2,2016 land area km2,2016 population density mi2,2016 population density km2,Location
94,Garland,Texas,239928,226876,+5.75%,57.0 mi2,147.6 km2,4122/mi2,1592/km2,32.9098°N 96.6303°W
95,Irving,Texas,239798,216290,+10.87%,67.0 mi2,173.5 km2,3557/mi2,1373/km2,32.8577°N 96.9700°W
96,Hialeah,Florida,233339,224669,+3.86%,21.5 mi2,55.7 km2,10995/mi2,4245/km2,25.8699°N 80.3029°W
97,Richmond,Virginia,230436,204214,+12.84%,59.8 mi2,154.9 km2,3732/mi2,1441/km2,37.5314°N 77.4760°W
98,Boise,Idaho,228959,205671,+11.32%,82.1 mi2,212.6 km2,2718/mi2,1049/km2,43.6002°N 116.2317°W
99,Spokane,Washington,222081,208916,+6.30%,68.7 mi2,177.9 km2,3144/mi2,1214/km2,47.6669°N 117.4333°W
100,Baton Rouge,Louisiana,220236,229493,-4.03%,85.9 mi2,222.5 km2,2651/mi2,1024/km2,30.4422°N 91.1309°W
101,Tacoma,Washington,217827,198397,+9.79%,49.7 mi2,128.7 km2,4251/mi2,1641/km2,47.2522°N 122.4598°W
102,San Bernardino,California,215784,209924,+2.79%,61.5 mi2,159.3 km2,3516/mi2,1358/km2,34.1416°N 117.2936°W
103,Modesto,California,215196,201165,+6.97%,43.0 mi2,111.4 km2,4934/mi2,1905/km2,37.6375°N 121.0030°W
104,Fontana,California,214547,196069,+9.42%,43.0 mi2,111.4 km2,4876/mi2,1883/km2,34.1090°N 117.4629°W
105,Des Moines,Iowa,214237,203433,+5.31%,88.9 mi2,230.2 km2,2424/mi2,936/km2,41.5726°N 93.6102°W
106,Moreno Valley,California,213055,193365,+10.18%,51.3 mi2,132.9 km2,4006/mi2,1547/km2,33.9233°N 117.2057°W
107,Santa Clarita,California,212979,176320,+20.79%,52.8 mi2,136.8 km2,3446/mi2,1331/km2,34.4030°N 118.5042°W
108,Fayetteville,North Carolina,211657,200564,+5.53%,147.7 mi2,382.5 km2,1386/mi2,535/km2,35.0828°N 78.9735°W
109,Birmingham,Alabama,209403,212237,-1.34%,146.1 mi2,378.4 km2,1452/mi2,561/km2,33.5274°N 86.7990°W
110,Oxnard,California,208881,197899,+5.55%,26.9 mi2,69.7 km2,7729/mi2,2984/km2,34.2023°N 119.2046°W
111,Rochester,New York,205695,210565,-2.31%,35.8 mi2,92.7 km2,5835/mi2,2253/km2,43.1699°N 77.6169°W
112,Port St. Lucie,Florida,201846,164603,+22.63%,118.9 mi2,307.9 km2,1557/mi2,601/km2,27.2806°N 80.3883°W
113,Grand Rapids,Michigan,201013,188040,+6.90%,44.4 mi2,115.0 km2,4424/mi2,1708/km2,42.9612°N 85.6556°W
114,Huntsville,Alabama,200574,180105,+11.37%,213.4 mi2,552.7 km2,905/mi2,349/km2,34.6990°N 86.6730°W
115,Salt Lake City,Utah,200567,186440,+7.58%,111.2 mi2,288.0 km2,1742/mi2,673/km2,40.7769°N 111.9310°W
116,Frisco,Texas,200490,116989,+71.38%,67.7 mi2,175.3 km2,2417/mi2,933/km2,33.1554°N 96.8226°W
117,Yonkers,New York,200370,195976,+2.24%,18.0 mi2,46.6 km2,11156/mi2,4307/km2,40.9459°N 73.8674°W
118,Amarillo,Texas,199371,190695,+4.55%,101.4 mi2,262.6 km2,1968/mi2,760/km2,35.1999°N 101.8302°W
119,Glendale,California,199303,191719,+3.96%,30.4 mi2,78.7 km2,6606/mi2,2551/km2,34.1814°N 118.2458°W
120,Huntington Beach,California,199223,189992,+4.86%,26.9 mi2,69.7 km2,7459/mi2,2880/km2,33.6906°N 118.0093°W
121,McKinney,Texas,199177,131117,+51.91%,63.0 mi2,163.2 km2,2735/mi2,1056/km2,33.1985°N 96.6680°W
122,Montgomery,Alabama,198525,205764,-3.52%,159.8 mi2,413.9 km2,1252/mi2,483/km2,32.3472°N 86.2661°W
123,Augusta,Georgia,197888,195844,+1.04%,302.5 mi2,783.5 km2,652/mi2,252/km2,33.3655°N 82.0734°W
124,Aurora,Illinois,197757,197899,-0.07%,44.9 mi2,116.3 km2,4479/mi2,1729/km2,41.7635°N 88.2901°W
125,Akron,Ohio,197597,199110,-0.76%,62.0 mi2,160.6 km2,3188/mi2,1231/km2,41.0805°N 81.5214°W
126,Little Rock,Arkansas,197312,193524,+1.96%,118.7 mi2,307.4 km2,1673/mi2,646/km2,34.7254°N 92.3586°W
127,Tempe,Arizona,195805,161719,+21.08%,40.0 mi2,103.6 km2,4562/mi2,1761/km2,33.3884°N 111.9318°W
128,Columbus,Georgia,195769,189885,+3.10%,216.4 mi2,560.5 km2,913/mi2,353/km2,32.5102°N 84.8749°W
129,Overland Park,Kansas,195494,173372,+12.76%,75.1 mi2,194.5 km2,2516/mi2,971/km2,38.8890°N 94.6906°W
130,Grand Prairie,Texas,194543,175396,+10.92%,72.3 mi2,187.3 km2,2637/mi2,1018/km2,32.6869°N 97.0211°W
131,Tallahassee,Florida,194500,181376,+7.24%,100.4 mi2,260.0 km2,1901/mi2,734/km2,30.4551°N 84.2534°W
132,Cape Coral,Florida,194495,154305,+26.05%,105.6 mi2,273.5 km2,1703/mi2,658/km2,26.6432°N 81.9974°W
133,Mobile,Alabama,188720,195111,-3.28%,139.4 mi2,361.0 km2,1384/mi2,534/km2,30.6684°N 88.1002°W
134,Knoxville,Tennessee,187603,178874,+4.88%,98.5 mi2,255.1 km2,1891/mi2,730/km2,35.9707°N 83.9493°W
135,Shreveport,Louisiana,187112,199311,-6.12%,107.1 mi2,277.4 km2,1820/mi2,700/km2,32.4669°N 93.7922°W
136,Worcester,Massachusetts,185428,181045,+2.42%,37.4 mi2,96.9 km2,4933/mi2,1905/km2,42.2695°N 71.8078°W
137,Ontario,California,185010,163924,+12.86%,49.9 mi2,129.2 km2,3471/mi2,1340/km2,34.0394°N 117.6042°W
138,Vancouver,Washington,184463,161791,+14.01%,46.9 mi2,121.5 km2,3728/mi2,1439/km2,45.6349°N 122.5957°W
139,Sioux Falls,South Dakota,183793,153888,+19.43%,75.4 mi2,195.3 km2,2312/mi2,893/km2,43.5383°N 96.7320°W
140,Chattanooga,Tennessee,182799,167674,+9.02%,143.1 mi2,370.6 km2,1241/mi2,479/km2,35.0660°N 85.2484°W
141,Brownsville,Texas,182781,175023,+4.43%,132.5 mi2,343.2 km2,1387/mi2,536/km2,25.9991°N 97.4550°W
142,Fort Lauderdale,Florida,182437,165521,+10.22%,34.6 mi2,89.6 km2,5166/mi2,1995/km2,26.1412°N 80.1467°W
143,Providence,Rhode Island,179883,178042,+1.03%,18.4 mi2,47.7 km2,9740/mi2,3760/km2,41.8231°N 71.4188°W
144,Newport News,Virginia,179225,180719,-0.83%,69.1 mi2,179.0 km2,2631/mi2,1016/km2,37.0762°N 76.5220°W
145,Rancho Cucamonga,California,177603,165269,+7.46%,40.0 mi2,103.6 km2,4413/mi2,1704/km2,34.1233°N 117.5642°W
146,Santa Rosa,California,176753,167815,+5.33%,41.3 mi2,107.0 km2,4241/mi2,1637/km2,38.4468°N 122.7061°W
147,Peoria,Arizona,175961,154065,+14.21%,175.7 mi2,455.1 km2,934/mi2,361/km2,33.7862°N 112.3080°W
148,Oceanside,California,175742,167086,+5.18%,41.3 mi2,107.0 km2,4249/mi2,1641/km2,33.2245°N 117.3062°W
149,Elk Grove,California,174775,153015,+14.22%,42.2 mi2,109.3 km2,4022/mi2,1553/km2,38.4146°N 121.3850°W
150,Salem,Oregon,174365,154637,+12.76%,48.6 mi2,125.9 km2,3445/mi2,1330/km2,44.9237°N 123.0232°W
151,Pembroke Pines,Florida,173591,154019,+12.71%,33.0 mi2,85.5 km2,5109/mi2,1973/km2,26.0210°N 80.3404°W
152,Eugene,Oregon,172622,156185,+10.52%,44.1 mi2,114.2 km2,3777/mi2,1458/km2,44.0567°N 123.1162°W
153,Garden Grove,California,171644,170883,+0.45%,18.0 mi2,46.6 km2,9714/mi2,3751/km2,33.7788°N 117.9605°W
154,Cary,North Carolina,170282,135234,+25.92%,56.5 mi2,146.3 km2,2873/mi2,1109/km2,35.7809°N 78.8133°W
155,Fort Collins,Colorado,170243,143986,+18.24%,55.8 mi2,144.5 km2,2943/mi2,1136/km2,40.5482°N 105.0648°W
156,Corona,California,169868,152374,+11.48%,39.5 mi2,102.3 km2,4222/mi2,1630/km2,33.8620°N 117.5655°W
157,Springfield,Missouri,167882,159498,+5.26%,82.3 mi2,213.2 km2,2033/mi2,785/km2,37.1942°N 93.2913°W
158,Jackson,Mississippi,160628,173514,-7.43%,111.0 mi2,287.5 km2,1524/mi2,588/km2,32.3158°N 90.2128°W
159,Alexandria,Virginia,159428,139966,+13.90%,15.0 mi2,38.8 km2,10387/mi2,4010/km2,38.8201°N 77.0841°W
160,Hayward,California,159203,144186,+10.42%,45.5 mi2,117.8 km2,3493/mi2,1349/km2,37.6287°N 122.1024°W
161,Clarksville,Tennessee,158146,132929,+18.97%,98.3 mi2,254.6 km2,1529/mi2,590/km2,36.5664°N 87.3452°W
162,Lakewood,Colorado,157935,142980,+10.46%,42.9 mi2,111.1 km2,3599/mi2,1390/km2,39.6989°N 105.1176°W
163,Lancaster,California,157601,156633,+0.62%,94.3 mi2,244.2 km2,1698/mi2,656/km2,34.6936°N 118.1753°W
164,Salinas,California,155465,150441,+3.34%,23.6 mi2,61.1 km2,6662/mi2,2572/km2,36.6902°N 121.6337°W
165,Palmdale,California,155079,152750,+1.52%,106.0 mi2,274.5 km2,1484/mi2,573/km2,34.5910°N 118.1054°W
166,Hollywood,Florida,154817,140768,+9.98%,27.3 mi2,70.7 km2,5568/mi2,2150/km2,26.0310°N 80.1646°W
167,Springfield,Massachusetts,153606,153060,+0.36%,31.9 mi2,82.6 km2,4830/mi2,1860/km2,42.1155°N 72.5400°W
168,Macon,Georgia,153159,91351,+67.66%,249.3 mi2,645.7 km2,612/mi2,236/km2,32.8088°N 83.6942°W
169,Kansas City,Kansas,152960,145786,+4.92%,124.8 mi2,323.2 km2,1216/mi2,470/km2,39.1225°N 94.7418°W
170,Sunnyvale,California,152703,140081,+9.01%,22.0 mi2,57.0 km2,6944/mi2,2681/km2,37.3858°N 122.0263°W
171,Pomona,California,151691,149058,+1.77%,23.0 mi2,59.6 km2,6630/mi2,2560/km2,34.0585°N 117.7611°W
172,Killeen,Texas,151666,127921,+18.56%,53.5 mi2,138.6 km2,2680/mi2,1030/km2,31.0777°N 97.7320°W
173,Escondido,California,151625,143911,+5.36%,37.1 mi2,96.1 km2,4087/mi2,1578/km2,33.1331°N 117.0740°W
174,Pasadena,Texas,151227,149043,+1.47%,43.5 mi2,112.7 km2,3525/mi2,1361/km2,29.6586°N 95.1506°W
175,Naperville,Illinois,148449,141853,+4.65%,38.7 mi2,100.2 km2,3802/mi2,1468/km2,41.7492°N 88.1620°W
176,Bellevue,Washington,148164,122363,+21.09%,33.5 mi2,86.8 km2,4221/mi2,1630/km2,47.5979°N 122.1565°W
177,Joliet,Illinois,147344,147433,-0.06%,64.4 mi2,166.8 km2,2302/mi2,889/km2,41.5177°N 88.1488°W
178,Murfreesboro,Tennessee,146900,108755,+35.07%,55.9 mi2,144.8 km2,2360/mi2,910/km2,35.8522°N 86.4160°W
179,Midland,Texas,146038,111147,+31.39%,74.4 mi2,192.7 km2,1809/mi2,698/km2,32.0246°N 102.1135°W
180,Rockford,Illinois,145609,152871,-4.75%,63.5 mi2,164.5 km2,2325/mi2,898/km2,42.2588°N 89.0646°W
181,Paterson,New Jersey,145233,146199,-0.66%,8.4 mi2,21.8 km2,17500/mi2,6800/km2,40.9148°N 74.1628°W
182,Savannah,Georgia,144464,136286,+6.00%,103.6 mi2,268.3 km2,1417/mi2,547/km2,32.0025°N 81.1536°W
183,Bridgeport,Connecticut,144399,144229,+0.12%,16.1 mi2,41.7 km2,9064/mi2,3500/km2,41.1874°N 73.1958°W
184,Torrance,California,143592,145438,-1.27%,20.5 mi2,53.1 km2,7180/mi2,2770/km2,33.8350°N 118.3414°W
185,McAllen,Texas,143268,129877,+10.31%,58.4 mi2,151.3 km2,2435/mi2,940/km2,26.2322°N 98.2464°W
186,Syracuse,New York,142327,145170,-1.96%,25.0 mi2,64.7 km2,5735/mi2,2214/km2,43.0410°N 76.1436°W
187,Surprise,Arizona,141664,117517,+20.55%,107.9 mi2,279.5 km2,1230/mi2,470/km2,33.6706°N 112.4527°W
188,Denton,Texas,141541,113383,+24.83%,93.4 mi2,241.9 km2,1433/mi2,553/km2,33.2166°N 97.1414°W
189,Roseville,California,141500,118788,+19.12%,43.0 mi2,111.4 km2,3085/mi2,1191/km2,38.7690°N 121.3189°W
190,Thornton,Colorado,141464,118772,+19.11%,35.7 mi2,92.5 km2,3829/mi2,1478/km2,39.9194°N 104.9428°W
191,Miramar,Florida,141191,122041,+15.69%,29.4 mi2,76.1 km2,4709/mi2,1818/km2,25.9770°N 80.3358°W
192,Pasadena,California,141029,137122,+2.85%,23.0 mi2,59.6 km2,6176/mi2,2385/km2,34.1606°N 118.1396°W
193,Mesquite,Texas,140937,139824,+0.80%,47.2 mi2,122.2 km2,3045/mi2,1176/km2,32.7629°N 96.5888°W
194,Olathe,Kansas,140545,125872,+11.66%,60.9 mi2,157.7 km2,2225/mi2,859/km2,38.8843°N 94.8195°W
195,Dayton,Ohio,140407,141527,-0.79%,55.7 mi2,144.3 km2,2522/mi2,974/km2,39.7774°N 84.1996°W
196,Carrollton,Texas,139248,119097,+16.92%,36.3 mi2,94.0 km2,3674/mi2,1419/km2,32.9884°N 96.8998°W
197,Waco,Texas,139236,124805,+11.56%,89.0 mi2,230.5 km2,1510/mi2,580/km2,31.5601°N 97.1860°W
198,Orange,California,138669,136416,+1.65%,25.4 mi2,65.8 km2,5532/mi2,2136/km2,33.7870°N 117.8613°W
199,Fullerton,California,138632,135161,+2.57%,22.4 mi2,58.0 km2,6282/mi2,2425/km2,33.8857°N 117.9280°W
200,Charleston,South Carolina,137566,120083,+14.56%,109.0 mi2,282.3 km2,1233/mi2,476/km2,32.8179°N 79.9590°W
201,West Valley City,Utah,135248,129480,+4.45%,35.5 mi2,91.9 km2,3847/mi2,1485/km2,40.6885°N 112.0118°W
202,Visalia,California,134605,124442,+8.17%,37.5 mi2,97.1 km2,3495/mi2,1349/km2,36.3273°N 119.3289°W
203,Hampton,Virginia,134510,137436,-2.13%,51.5 mi2,133.4 km2,2629/mi2,1015/km2,37.0480°N 76.2971°W
204,Gainesville,Florida,133997,124354,+7.75%,62.3 mi2,161.4 km2,2112/mi2,815/km2,29.6788°N 82.3461°W
205,Warren,Michigan,133943,134056,-0.08%,34.4 mi2,89.1 km2,3928/mi2,1517/km2,42.4929°N 83.0250°W
206,Coral Springs,Florida,133759,121096,+10.46%,23.8 mi2,61.6 km2,5465/mi2,2110/km2,26.2707°N 80.2593°W
